lng,lat
-77.5565224,43.1737035
-73.9876442,40.7445864
-73.9505723,40.7332022
-73.8629943,40.8633059
-77.6124801,43.150468
-78.7771107,42.9562964
-73.8971841,40.6573328
-73.8191626,41.0566225
-75.8967,43.9087
-73.9069,40.745
-75.9973067,42.1072713
-73.9909322,40.7485277
-73.8602,40.8434
-73.7085515,40.9699924
-73.0464,40.9136
-74.0981377,40.6437607
-74.0196933,40.6176597
-73.5697667,40.9108597
-78.8637468,42.9372671
-79.0319405,43.0952569
-73.8951692,41.5252274
-73.9151491,40.6908607
-73.7636905,42.8383215
-73.928911,40.808734
-73.973781,40.6841667
-73.8652589,41.1531397
-73.1578314,40.8375149
-73.632738,40.7124028
-73.7897163,40.8583943
-73.7645186,42.747304
-78.7584072,42.7547907
-76.4094705,42.3899185
-72.8258614,40.9592916
-78.726721,42.9574078
-74.0106844,40.7063933
-73.882909,41.5224454
-73.9345,40.7446
-74.0002055,42.8007536
-73.6974197,40.585637
-73.7884354,43.0838493
